window_start,window_end,minFDR_PG10,minFDR_BSU168,significant
BSU13290,BSU13460,0.0931322398184981,0.0697422266437618,Neither
BSU09800,BSU09890,0.0210494136973151,0.0175037337683603,Both
BSU05150,BSU05240,0.00965058922727556,0.00683450967024317,Both
BSU02650,BSU02740,0.273775904465955,0.205495818399053,Neither
BSU00790,BSU00880,0.0469623555721213,0.0301075268817216,Both
BSU40900,BSU40980,0.0277029124579348,0.013732255787462,Both
BSU04630,BSU04720,0.0744183486881078,0.0702000150224047,Neither
BSU14240,BSU14330,9.79371052359034e-13,6.79872098826996e-14,Both
BSU24880,BSU24970,3.93284544434176e-05,1.81434080004311e-05,Both
BSU07390,BSU07500,0.0347043732105719,0.0244556557026791,Both
BSU01460,BSU01550,0.117600280451061,0.0988293913301064,Neither
BSU07630,BSU07735,0.113487981749364,0.0728009473422093,Neither
BSU13080,BSU13169,0.00122457596657535,0.000768438780996036,Both
BSU09050,BSU09140,0.0675966667250313,0.0512035496723398,Neither
BSU38000,BSU38100,0.255502997162504,0.263135182027709,Neither
BSU27760,BSU27840,0.468399905529058,0.387644762743968,Neither
BSU36260,BSU36340,0.0595346789504863,0.0763813218016622,Neither
BSU35190,BSU35290,0.000642843839851397,0.000218575368721137,Both
BSU03652,BSU03950,0.000444008635029904,0.000546702297990461,Both
BSU36310,BSU36400,0.00434656211295589,0.0234774294745719,Both
BSU24560,BSU24680,0.00343829002690827,0.00141499948944928,Both
BSU08010,BSU08090,4.77628482845473e-07,8.0921104136786e-08,Both
BSU00990,BSU01080,6.11603830360253e-06,4.36366356910613e-07,Both
BSU28190,BSU28280,1.03445415319355e-07,1.74832947897887e-08,Both
BSU15140,BSU15230,1.37161098004065e-12,1.12932486618757e-13,Both
BSU37130,BSU37220,0.19407541633,0.115058596050458,Neither
BSU09070,BSU09165,0.0725578899709051,0.0549616083638876,Neither
BSU00140,BSU00230,0.00584341088561545,0.00504082960732951,Both
BSU36360,BSU36460,0.00423511180236727,0.022875444103429,Both
BSU28870,BSU28970,0.0023778980872173,0.000977904110489979,Both
BSU40940,BSU41030,0.000263701535327171,9.30159435741406e-05,Both
BSU23930,BSU24020,0.0750196993072653,0.0455258004771811,BSU168_only
BSU34540,BSU34830,0.112464822305257,0.0841905663115437,Neither
BSU24710,BSU24800,0.00529077435959106,0.00272325297211235,Both
BSU40139,BSU40340,0.00122735660382573,0.00109379144075041,Both
BSU25650,BSU26450,0.0992244649174771,0.0780332605804328,Neither
BSU25630,BSU26430,0.115761875737057,0.0910388040105049,Neither
