IDbsub	BiolProc	MolFun	CellComp
BSU06570			GO:0005886 GO:0016020 GO:0071944 GO:0110165
BSU06580	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363	
BSU06590	GO:0006082 GO:0006520 GO:0006536 GO:0006537 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009064 GO:0009084 GO:0009987 GO:0016053 GO:0019752 GO:0043436 GO:0043648 GO:0043650 GO:0044237 GO:0044238 GO:0044249 GO:0044281 GO:0044283 GO:0046394 GO:0071704 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0015930 GO:0016491 GO:0016638	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06600	GO:0006629 GO:0006644 GO:0006650 GO:0006793 GO:0006796 GO:0008152 GO:0008610 GO:0008654 GO:0009058 GO:0009987 GO:0019637 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0045017 GO:0046474 GO:0046486 GO:0071704 GO:0090407 GO:1901576	GO:0000287 GO:0002094 GO:0003824 GO:0004659 GO:0005488 GO:0016740 GO:0016765 GO:0043167 GO:0043169 GO:0046872	
BSU06610	GO:0000725 GO:0006139 GO:0006259 GO:0006260 GO:0006261 GO:0006268 GO:0006281 GO:0006310 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0006996 GO:0008152 GO:0009987 GO:0016043 GO:0032392 GO:0032508 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051276 GO:0051716 GO:0071103 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0000166 GO:0003676 GO:0003677 GO:0003678 GO:0003824 GO:0004386 GO:0005488 GO:0005524 GO:0008094 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043138 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140097 GO:0140640 GO:0140657 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0032991 GO:0033202 GO:0044815 GO:0110165 GO:1902494
BSU06620	GO:0006139 GO:0006259 GO:0006260 GO:0006266 GO:0006281 GO:0006284 GO:0006288 GO:0006725 GO:0006807 GO:0006950 GO:0006974 GO:0008152 GO:0009987 GO:0033554 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0050896 GO:0051103 GO:0051716 GO:0071704 GO:0090304 GO:1901360	GO:0003676 GO:0003677 GO:0003824 GO:0003909 GO:0003911 GO:0005488 GO:0016874 GO:0016886 GO:0043167 GO:0043169 GO:0046872 GO:0097159 GO:0140097 GO:0140640 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU06630			GO:0005886 GO:0016020 GO:0045121 GO:0071944 GO:0098857 GO:0110165
BSU06640	GO:0006082 GO:0006520 GO:0006566 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0008652 GO:0009058 GO:0009066 GO:0009067 GO:0009088 GO:0009987 GO:0016053 GO:0016310 GO:0019752 GO:0042221 GO:0043436 GO:0044237 GO:0044238 GO:0044249 GO:0044281 GO:0044283 GO:0046394 GO:0046677 GO:0050896 GO:0071704 GO:1901564 GO:1901566 GO:1901576 GO:1901605 GO:1901607	GO:0003824 GO:0004413 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0019202	
BSU06650			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06660	GO:0003333 GO:0006810 GO:0006811 GO:0006812 GO:0006814 GO:0006820 GO:0006865 GO:0009987 GO:0015711 GO:0015804 GO:0015824 GO:0015849 GO:0030001 GO:0034220 GO:0035725 GO:0046942 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705 GO:0098655 GO:0098660 GO:0098662 GO:1903825 GO:1905039	GO:0005215 GO:0005283 GO:0005298 GO:0005342 GO:0005343 GO:0005416 GO:0005488 GO:0008324 GO:0015075 GO:0015081 GO:0015171 GO:0015291 GO:0015293 GO:0015294 GO:0015318 GO:0015370 GO:0022804 GO:0022853 GO:0022857 GO:0022890 GO:0031402 GO:0031420 GO:0043167 GO:0043169 GO:0046872 GO:0046873 GO:0046943	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06670	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006450 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0065007 GO:0065008 GO:0070681 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0016884 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050566 GO:0050567 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	
BSU06680	GO:0006412 GO:0006518 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0019538 GO:0034641 GO:0034645 GO:0043043 GO:0043170 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0071704 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0016884 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050567 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	GO:0030956 GO:0032991 GO:0140535
BSU06690	GO:0006082 GO:0006139 GO:0006399 GO:0006412 GO:0006518 GO:0006520 GO:0006725 GO:0006807 GO:0008152 GO:0009058 GO:0009059 GO:0009987 GO:0010467 GO:0016070 GO:0019538 GO:0019752 GO:0034641 GO:0034645 GO:0034660 GO:0043038 GO:0043039 GO:0043043 GO:0043170 GO:0043436 GO:0043603 GO:0043604 GO:0044237 GO:0044238 GO:0044249 GO:0044260 GO:0044271 GO:0044281 GO:0046483 GO:0070681 GO:0071704 GO:0090304 GO:1901360 GO:1901564 GO:1901566 GO:1901576	GO:0000166 GO:0003824 GO:0005488 GO:0005524 GO:0016874 GO:0016879 GO:0016884 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0050566 GO:0050567 GO:0097159 GO:0097367 GO:0140098 GO:0140101 GO:0140640 GO:1901265 GO:1901363	
BSU06700		GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
BSU06710	GO:0006810 GO:0009987 GO:0042221 GO:0042908 GO:0046677 GO:0050896 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857 GO:0042910	GO:0005886 GO:0016020 GO:0071944 GO:0110165
BSU06720	GO:0006629 GO:0006644 GO:0006793 GO:0006796 GO:0008152 GO:0008610 GO:0008654 GO:0009058 GO:0009987 GO:0016310 GO:0019637 GO:0044237 GO:0044238 GO:0044249 GO:0044255 GO:0071704 GO:0090407 GO:1901576	GO:0000166 GO:0003824 GO:0003951 GO:0004143 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU06730	GO:0000154 GO:0001510 GO:0006139 GO:0006364 GO:0006396 GO:0006725 GO:0006807 GO:0008152 GO:0009451 GO:0009987 GO:0010467 GO:0016070 GO:0016072 GO:0022613 GO:0031167 GO:0032259 GO:0034470 GO:0034641 GO:0034660 GO:0042254 GO:0043170 GO:0043412 GO:0043414 GO:0044085 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0070475 GO:0071704 GO:0071840 GO:0090304 GO:1901360	GO:0003824 GO:0005488 GO:0008168 GO:0008169 GO:0008173 GO:0008649 GO:0008757 GO:0016436 GO:0016740 GO:0016741 GO:0043167 GO:0043169 GO:0046872 GO:0051536 GO:0051539 GO:0051540 GO:0070041 GO:0140098 GO:0140102 GO:0140640	
BSU06740	GO:0006139 GO:0006259 GO:0006310 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0000150 GO:0003676 GO:0003677 GO:0003824 GO:0005488 GO:0097159 GO:0140097 GO:0140640 GO:1901363	
BSU06750	GO:0006139 GO:0006259 GO:0006310 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0044260 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0000150 GO:0003676 GO:0003677 GO:0003824 GO:0005488 GO:0097159 GO:0140097 GO:0140640 GO:1901363	
BSU06760	GO:0006139 GO:0006259 GO:0006304 GO:0006305 GO:0006306 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0032259 GO:0032775 GO:0034641 GO:0043170 GO:0043412 GO:0043414 GO:0044237 GO:0044238 GO:0044260 GO:0044728 GO:0046483 GO:0071704 GO:0090304 GO:1901360	GO:0003676 GO:0003677 GO:0003824 GO:0005488 GO:0008168 GO:0008757 GO:0009007 GO:0009008 GO:0016740 GO:0016741 GO:0097159 GO:0140097 GO:0140640 GO:1901363	
BSU06770		GO:0000166 GO:0003824 GO:0004386 GO:0005488 GO:0005524 GO:0016787 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140640 GO:0140657 GO:1901265 GO:1901363	
BSU06780			
BSU06790			
BSU06800			
BSU06811			
BSU06812	GO:0006139 GO:0006725 GO:0006807 GO:0008152 GO:0009987 GO:0034641 GO:0043170 GO:0044237 GO:0044238 GO:0046483 GO:0071704 GO:0090304 GO:0090305 GO:1901360	GO:0003824 GO:0004518 GO:0016787 GO:0016788	GO:0005886 GO:0016020 GO:0045121 GO:0071944 GO:0098857 GO:0110165
BSU06820			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06830		GO:0003824 GO:0004721 GO:0016787 GO:0016788 GO:0016791 GO:0042578 GO:0140096	
BSU06839			GO:0005576 GO:0110165
BSU06840	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU06850	GO:0009653 GO:0009987 GO:0030154 GO:0030435 GO:0032502 GO:0043934 GO:0048646 GO:0048856 GO:0048869		
BSU06860	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0000976 GO:0001067 GO:0003676 GO:0003677 GO:0003690 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363 GO:1990837	
BSU06870			
BSU06880		GO:0003824 GO:0016491	
BSU06890			
BSU06900			
BSU06910			
BSU06920		GO:0003824 GO:0008080 GO:0016407 GO:0016410 GO:0016740 GO:0016746 GO:0016747	
BSU06930			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06940			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06950	GO:0000160 GO:0006468 GO:0006793 GO:0006796 GO:0006807 GO:0007154 GO:0007165 GO:0008152 GO:0009987 GO:0016310 GO:0018106 GO:0018193 GO:0018202 GO:0019538 GO:0023052 GO:0035556 GO:0036211 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0065007 GO:0071704 GO:1901564	GO:0000155 GO:0000166 GO:0003824 GO:0004672 GO:0004673 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0016775 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140096 GO:0140299 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06960	GO:0000160 GO:0006355 GO:0007154 GO:0007165 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0023052 GO:0031323 GO:0031326 GO:0035556 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051252 GO:0051716 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363	GO:0005622 GO:0005737 GO:0110165
BSU06970			
BSU06980	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU06990	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07000	GO:0005975 GO:0008152 GO:0009056 GO:0044238 GO:0071704 GO:1901575	GO:0003824 GO:0004553 GO:0016787 GO:0016798 GO:0102211	GO:0005622 GO:0005737 GO:0110165
BSU07010	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0043565 GO:0097159 GO:0140110 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07020		GO:0003824 GO:0016787	
BSU07030			
BSU07040			
BSU07050	GO:0009987 GO:0016043 GO:0045229 GO:0071554 GO:0071555 GO:0071840	GO:0003824 GO:0005488 GO:0016829 GO:0016835 GO:0016837 GO:0043167 GO:0043169 GO:0046872 GO:0102210	GO:0005576 GO:0110165
BSU07060	GO:0009987 GO:0016043 GO:0045229 GO:0071554 GO:0071555 GO:0071840	GO:0003824 GO:0005488 GO:0016829 GO:0043167 GO:0043169 GO:0046872	GO:0005576 GO:0110165
BSU07070		GO:0003824 GO:0016787 GO:0016788	
BSU07080	GO:0005975 GO:0005996 GO:0006012 GO:0008152 GO:0019318 GO:0044238 GO:0044281 GO:0071704	GO:0003824 GO:0004553 GO:0004565 GO:0005488 GO:0015925 GO:0016787 GO:0016798 GO:0043167 GO:0043169 GO:0046872	GO:0009341 GO:0032991 GO:1902494
BSU07090			
BSU07100			GO:0005886 GO:0016020 GO:0071944 GO:0110165
BSU07110	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07120	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085		GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07130	GO:0005975 GO:0008152 GO:0044238 GO:0071704	GO:0003824 GO:0004553 GO:0005488 GO:0016491 GO:0016614 GO:0016616 GO:0016787 GO:0016798 GO:0043167 GO:0043169 GO:0046872 GO:0047911	
BSU07140			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07150		GO:0003824 GO:0004392 GO:0004497 GO:0005488 GO:0016491 GO:0016705 GO:0016712 GO:0043167 GO:0043169 GO:0046872	GO:0005622 GO:0005737 GO:0110165
BSU07160	GO:0006139 GO:0006163 GO:0006637 GO:0006725 GO:0006753 GO:0006790 GO:0006793 GO:0006796 GO:0006807 GO:0008152 GO:0009117 GO:0009150 GO:0009259 GO:0009987 GO:0019637 GO:0019693 GO:0033865 GO:0033875 GO:0034032 GO:0034641 GO:0035383 GO:0043603 GO:0044237 GO:0044238 GO:0044281 GO:0046483 GO:0046491 GO:0055086 GO:0071704 GO:0072521 GO:1901135 GO:1901360 GO:1901564	GO:0003824 GO:0004493 GO:0016853 GO:0016854	
BSU07190			GO:0005622 GO:0005737 GO:0110165
BSU07200			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07210			GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07220	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0097159 GO:0140110 GO:1901363	
BSU07230		GO:0000166 GO:0003824 GO:0004497 GO:0005488 GO:0016491 GO:0036094 GO:0043167 GO:0043168 GO:0050660 GO:0071949 GO:0097159 GO:1901265 GO:1901363	
BSU07240			
BSU07250	GO:0006082 GO:0006629 GO:0006631 GO:0008152 GO:0009987 GO:0019395 GO:0019752 GO:0030258 GO:0032787 GO:0034440 GO:0043436 GO:0044237 GO:0044238 GO:0044255 GO:0044281 GO:0071704	GO:0000166 GO:0003824 GO:0003958 GO:0004497 GO:0005488 GO:0005504 GO:0005506 GO:0008289 GO:0010181 GO:0016491 GO:0016651 GO:0016653 GO:0016705 GO:0016712 GO:0020037 GO:0031406 GO:0032553 GO:0033293 GO:0036094 GO:0043167 GO:0043168 GO:0043169 GO:0046872 GO:0046906 GO:0046914 GO:0050660 GO:0070330 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU07260	GO:0006082 GO:0008152 GO:0009058 GO:0009059 GO:0009273 GO:0009987 GO:0016043 GO:0016053 GO:0019350 GO:0034645 GO:0042546 GO:0043170 GO:0044036 GO:0044038 GO:0044085 GO:0044237 GO:0044249 GO:0044260 GO:0044281 GO:0044283 GO:0045229 GO:0046374 GO:0070394 GO:0070395 GO:0070589 GO:0071554 GO:0071555 GO:0071704 GO:0071840 GO:1901135 GO:1901137 GO:1901576	GO:0003824 GO:0005488 GO:0008484 GO:0016740 GO:0016787 GO:0016788 GO:0043167 GO:0043169 GO:0046872	GO:0005576 GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07270	GO:0008152 GO:0009058	GO:0000166 GO:0003824 GO:0005488 GO:0016740 GO:0016772 GO:0016779 GO:0036094 GO:0043167 GO:0043169 GO:0046872 GO:0047343 GO:0070567 GO:0097159 GO:1901265 GO:1901363	
BSU07280	GO:0005975 GO:0008152 GO:0044238 GO:0071704		
BSU07290			
BSU07300		GO:0003824 GO:0016740 GO:0016757	
BSU07310			
BSU07320	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07330		GO:0003824 GO:0008252 GO:0008253 GO:0016787 GO:0016788 GO:0016791 GO:0042578	
BSU07340	GO:0003333 GO:0006810 GO:0006865 GO:0008643 GO:0009987 GO:0015849 GO:0051179 GO:0051234 GO:0055085 GO:0071702 GO:0071705 GO:1903825 GO:1905039	GO:0005215 GO:0005342 GO:0015171 GO:0022857 GO:0046943	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07350		GO:0003824 GO:0004029 GO:0004030 GO:0016491 GO:0016620 GO:0016903 GO:0018479 GO:0019115 GO:0050608	
BSU07360	GO:0007154 GO:0007165 GO:0009987 GO:0023052 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0065007		GO:0016020 GO:0110165
BSU07370		GO:0000166 GO:0003676 GO:0003677 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU07380			GO:0016020 GO:0016021 GO:0031224 GO:0110165
BSU07390	GO:0006355 GO:0009889 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0031323 GO:0031326 GO:0050789 GO:0050794 GO:0051171 GO:0051252 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0003676 GO:0003677 GO:0005488 GO:0097159 GO:1901363	
BSU07400	GO:0000041 GO:0006810 GO:0006811 GO:0006812 GO:0006825 GO:0009987 GO:0030001 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07410			
BSU07420		GO:0000166 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	
BSU07430	GO:0000027 GO:0006996 GO:0009987 GO:0016043 GO:0022607 GO:0022613 GO:0022618 GO:0042254 GO:0042255 GO:0042273 GO:0043933 GO:0044085 GO:0065003 GO:0070925 GO:0071826 GO:0071840 GO:0140694	GO:0000166 GO:0003676 GO:0003723 GO:0003724 GO:0003727 GO:0003824 GO:0004386 GO:0005488 GO:0005524 GO:0008186 GO:0016462 GO:0016787 GO:0016817 GO:0016818 GO:0016887 GO:0017076 GO:0017111 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0033592 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140098 GO:0140640 GO:0140657 GO:0140666 GO:1901265 GO:1901363	GO:0005622 GO:0005737 GO:0005829 GO:0110165
BSU07440		GO:0003824 GO:0008080 GO:0016407 GO:0016410 GO:0016740 GO:0016746 GO:0016747	
BSU07450	GO:0006725 GO:0008152 GO:0009056 GO:0009636 GO:0009987 GO:0019439 GO:0042221 GO:0044237 GO:0044248 GO:0050896	GO:0003824 GO:0016491 GO:0016627 GO:0016628	
BSU07460	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07480			
BSU07490	GO:0006810 GO:0006811 GO:0042592 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0065007 GO:0065008 GO:0098771	GO:0000166 GO:0005488 GO:0005524 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0071944 GO:0110165
BSU07500	GO:0000041 GO:0006810 GO:0006811 GO:0006812 GO:0006826 GO:0006873 GO:0006875 GO:0006879 GO:0009987 GO:0019725 GO:0030001 GO:0030003 GO:0033212 GO:0033214 GO:0042592 GO:0046916 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0051641 GO:0051649 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0065007 GO:0065008 GO:0098657 GO:0098771 GO:1901678	GO:0005215 GO:0022857	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
BSU07510	GO:0000041 GO:0006810 GO:0006811 GO:0006812 GO:0006826 GO:0006873 GO:0006875 GO:0006879 GO:0009987 GO:0019725 GO:0030001 GO:0030003 GO:0033212 GO:0033214 GO:0042592 GO:0046916 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0051641 GO:0051649 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0055082 GO:0055085 GO:0065007 GO:0065008 GO:0098657 GO:0098771 GO:1901678	GO:0005215 GO:0022857	GO:0005886 GO:0005887 GO:0016020 GO:0016021 GO:0031224 GO:0031226 GO:0071944 GO:0110165
BSU07520	GO:0006810 GO:0006811 GO:0042592 GO:0048878 GO:0050801 GO:0051179 GO:0051234 GO:0055065 GO:0055072 GO:0055076 GO:0055080 GO:0065007 GO:0065008 GO:0098771		GO:0005886 GO:0016020 GO:0030288 GO:0030313 GO:0031975 GO:0042597 GO:0071944 GO:0110165
BSU07530			
BSU07550			
BSU07560	GO:0000272 GO:0005975 GO:0005976 GO:0008152 GO:0009056 GO:0009057 GO:0010393 GO:0016052 GO:0043170 GO:0044238 GO:0045488 GO:0045490 GO:0071704 GO:1901575	GO:0003824 GO:0005488 GO:0016829 GO:0016835 GO:0016837 GO:0030570 GO:0043167 GO:0043169 GO:0046872	GO:0005576 GO:0110165
BSU07570	GO:0006810 GO:0009987 GO:0051179 GO:0051234 GO:0055085	GO:0005215 GO:0022857	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07580	GO:0000160 GO:0006468 GO:0006793 GO:0006796 GO:0006807 GO:0007154 GO:0007165 GO:0008152 GO:0009987 GO:0016310 GO:0018106 GO:0018193 GO:0018202 GO:0019538 GO:0023052 GO:0035556 GO:0036211 GO:0043170 GO:0043412 GO:0044237 GO:0044238 GO:0050789 GO:0050794 GO:0050896 GO:0051716 GO:0065007 GO:0071704 GO:1901564	GO:0000155 GO:0000166 GO:0003824 GO:0004672 GO:0004673 GO:0005488 GO:0005524 GO:0016301 GO:0016740 GO:0016772 GO:0016773 GO:0016775 GO:0017076 GO:0030554 GO:0032553 GO:0032555 GO:0032559 GO:0035639 GO:0036094 GO:0043167 GO:0043168 GO:0097159 GO:0097367 GO:0140096 GO:0140299 GO:1901265 GO:1901363	GO:0005886 GO:0016020 GO:0016021 GO:0031224 GO:0071944 GO:0110165
BSU07590	GO:0000160 GO:0006355 GO:0007154 GO:0007165 GO:0009889 GO:0009987 GO:0010468 GO:0010556 GO:0019219 GO:0019222 GO:0023052 GO:0031323 GO:0031326 GO:0035556 GO:0050789 GO:0050794 GO:0050896 GO:0051171 GO:0051252 GO:0051716 GO:0060255 GO:0065007 GO:0080090 GO:1903506 GO:2001141	GO:0000156 GO:0003676 GO:0003677 GO:0003700 GO:0005488 GO:0060089 GO:0097159 GO:0140110 GO:1901363	GO:0005622 GO:0005737 GO:0110165
BSU07600			
